Association Id,Association Name,Club Id,Club Name,Abbreviation,TimeStamp,Address1,Address2,SubUrb,State,Country,Postal Code,Phone,Email
1,RDCA - Seniors & Juniors,0,RDCA - Seniors & Juniors,,10/14/2016 2:12:47 PM,,,VIC,Australia,,,
2,South Australia National Football League (SANFL),0,South Australia National Football League (SANFL),,12/2/2019 11:32:40 AM,PO Box 606,,SA,AUSTRALIA,5006,0405 063 900,andrew.rogers@sanfl.com.au
3,West Australian Football League (WAFL),0,West Australian Football League (WAFL),,10/31/2019 4:30:33 PM,Gate 6 Domain Stadium,,WA,AUSTRALIA,6008,(08) 9381 5599,WAFLoperations@wafc.com.au
7,Peel DFDC,0,Peel DFDC,,11/20/2019 1:34:23 PM,PO Box 500,,WA,AUSTRALIA,6210,,peelregistrar@westnet.com.au
13,Northern Zone,0,Northern Zone,,10/17/2016 11:13:22 AM,GPO Box 3105,,NT,Australia,0801,08 8941 2444,
14,NRL SA Metro,0,NRL SA Metro,,10/30/2018 9:57:17 AM,PO Box 146,,SA,AUSTRALIA,5007,08 8244 4497,infosa@nrl.com.au
15,Western Australian RL,0,Western Australian RL,,10/3/2018 2:56:48 PM,PO Box 8650,,WA,AUSTRALIA,6849,08 9228 9275,bwoolley@nrl.com.au
18,NRL Victoria,0,NRL Victoria,,6/17/2019 9:14:12 PM,AAMI Park,60 Olympic Boulevard,VIC,AUSTRALIA,3001,03 8412 4956,nrlvic@nrl.com.au
21,Wodonga Storm Rugby League,0,Wodonga Storm Rugby League,,10/8/2018 7:13:30 PM,PO Box 5131,Wodonga Plaza,VIC,AUSTRALIA,3690,,wodongastormz@gmail.com
63,Katherine Junior Rugby League,0,Katherine Junior Rugby League,,12/2/2018 11:08:02 PM,PO Box 381,,NT,AUSTRALIA,0851,0419 804 039,kj.rugbyleague@gmail.com
64,Northern Territory Rugby League,0,Northern Territory Rugby League,,5/22/2019 5:00:55 PM,"105 Abala Road, Marrara",PO Box 1198    NT  0814,NT,AUSTRALIA,0814,08 8947 0485,nrlnt@nrl.com.au
66,Central Australian Rugby Football League,0,Central Australian Rugby Football League,,11/21/2018 12:45:02 PM,PO Box 495,,NT,AUSTRALIA,0871,0418615658,tduncan@nrl.com.au
67,Tasmania RL,0,Tasmania RL,,10/30/2018 9:57:17 AM,"Sport and Recreation House ",Self Point Road,TAS,AUSTRALIA,7008,,nrltas@nrl.com.au
68,Penrith and District Junior Rugby League,0,Penrith and District Junior Rugby League,,11/15/2018 2:03:14 PM,Penrith District Junior Rugby League,"Panthers NRL Academy, 123 Mulgoa Road",NSW,AUSTRALIA,2750,02 4720 9118,belinda.bonanno@panthersjuniors.com.au
69,Wests Tigers Macarthur DJRL,0,Wests Tigers Macarthur DJRL,,4/29/2019 2:04:37 PM,PO BOX 1743,,NSW,AUSTRALIA,2560,,dayrton@nswrl.com.au
70,North Sydney JRL,0,North Sydney JRL,,10/30/2018 9:57:17 AM,PO BOX 327,,NSW,AUSTRALIA,2062,02 9245 3078,josh@northsydneybears.com.au
71,Parramatta JRL,0,Parramatta JRL,,2/4/2019 11:37:18 AM,P O Box 2666,,NSW,AUSTRALIA,1750,8843 0357,pdjrl@parraeels.com.au
75,Canterbury Bankstown JRL,0,Canterbury Bankstown JRL,,10/30/2018 9:57:17 AM,PO BOX 123,,NSW,AUSTRALIA,2192,02 9789 8003,juniors@bulldogs.com.au
76,South Sydney JRL,0,South Sydney JRL,,2/8/2019 11:07:19 AM,PO BOX 99,,NSW,AUSTRALIA,2032,02 9314 4261,juniorleague@thejuniors.com.au
77,Balmain JRL,0,Balmain JRL,,6/11/2019 11:51:22 AM,PO Box 438,,NSW,AUSTRALIA,2129,,spittendrigh@nswrl.com.au
84,Central Coast Division Junior Rugby League,0,Central Coast Division Junior Rugby League,,10/30/2018 9:57:17 AM,Unit 3/6 Morton Close,PO Box 3496,NSW,AUSTRALIA,2259,02 4359 7220,ccdjrl@crlnsw.com.au
85,Canberra Region JRL,0,Canberra Region JRL,,10/30/2018 9:57:17 AM,PO Box 3315,,ACT,AUSTRALIA,2617,02 6253 3515,mvergano@raiders.com.au
88,Tooheys Group 11 - Seniors,0,Tooheys Group 11 - Seniors,,10/30/2018 9:57:17 AM,45L Mendooran Road,,New South Wales,AUSTRALIA,2830,0418 483 755,poppalox55@gmail.com
90,Hunter Valley Group 21 RL,0,Hunter Valley Group 21 RL,,10/30/2018 9:57:17 AM,PO BOX 107,,NSW,AUSTRALIA,2329,0467 482 363,hvgr21@bigpond.com
91,Group 10 - Juniors,0,Group 10 - Juniors,,10/30/2018 9:57:17 AM,PO Box 23,,NSW,AUSTRALIA,2799,02 6368 3054,christinesmith1961@hotmail.com
92,Group 6 Rugby League,0,Group 6 Rugby League,,3/30/2019 11:20:25 AM,PO Box 7017,,NSW,AUSTRALIA,2567,0450 010 770,group6rugbyleague@bigpond.com
