Club Id,Club Name,Abbreviation,TimeStamp,Address1,Address2,SubUrb,State,Country,Postal Code,Phone,Email
13146,General Club,Gen,11/11/2019 10:13:52 AM,,,,,,,
270732,Referee's,REF,10/18/2019 11:31:05 AM,David Phillips Memorial Fields,,NSW,,2032,,
204901,TFSA League Referees,,8/7/2018 12:04:35 PM,"132 Rose Terrace ",,SA,AUSTRALIA,5034,,
10477,General Club,Gen,6/6/2017 2:56:05 PM,,,,,,,
10479,Eastern Stingrays,ES,10/9/2017 5:14:21 PM,27 Scott St,,SA,Aust,5063,0418 835 322,sharong@ocre.com.au
10478,Central Scorpions,CS,6/6/2017 2:56:05 PM,38 Edward John Parade,,SA,Aust,5121,0413 270 135,centralscorpions@gmail.com
10481,South West Wolves,SWW,10/3/2018 3:02:19 PM,TBA,,SA,AUSTRALIA,TBA,,swwtouch@gmail.com
250470,South Australian Coaches,,10/25/2017 1:54:23 PM,7 Greenhill Road,,South Australia,,5034,,
12558,Colley Reserve,,6/6/2017 2:56:05 PM,,,SA,AUSTRALIA,,,
207811,SA Ignite Talent Academy,SAITA,6/6/2017 2:56:05 PM,105 King William St,,SA,Australia,5067,08 8132 0712,mat.swan@touchsa.com.au
270266,17th Australian Masters Games,17th AMG,9/26/2019 5:40:24 PM,Unit 13 18-28 Gray Street,,SA,,5009,0401 999 715,renee.bryant@touchfootball.com.au
256248,yourPodiatrist Cup,yourPod,1/8/2019 11:17:10 AM,"Unit 13, 18-28 Gray Street",,SA,,5009,,
205552,SA Heat,,6/6/2017 2:56:05 PM,105 King William Street,,South Australia,,5067,,
10480,Northern Vipers,NV,11/10/2017 11:36:00 AM,8/366 South Terrace,,SA,Aust,5000,0405139334,MSheeky@rebelsport.com.au
10221,Dodgers Men,,6/6/2017 2:56:05 PM,,,SA,AUSTRALIA,,,
10232,Gregan's Grogan's (Men),,6/6/2017 2:56:05 PM,,,SA,AUSTRALIA,,,
10264,Arab Steed Pornstars,,6/6/2017 2:56:05 PM,,,SA,AUSTRALIA,,,
10247,YOBS,,5/16/2018 12:29:43 PM,,,SA,AUSTRALIA,5000,,
10235,Spank,,6/6/2017 2:56:05 PM,,,SA,AUSTRALIA,,,
10218,The A Team - Thurs,,10/24/2019 4:25:23 PM,,,SA,AUSTRALIA,,,
10258,Red Hot Chillis,,6/6/2017 2:56:05 PM,,,SA,AUSTRALIA,,,
10234,The Charlatans,,6/6/2017 2:56:05 PM,,,SA,AUSTRALIA,,,
10337,The A Team (Botanics),,10/5/2018 4:18:52 PM,,,SA,AUSTRALIA,5074,,
32366,AUTC,,6/6/2017 2:56:05 PM,,,SA,AUSTRALIA,,,
10280,Team Pelican,,6/6/2017 2:56:05 PM,,,SA,AUSTRALIA,,,
10273,Summer of Steak,,6/6/2017 2:56:05 PM,,,SA,AUSTRALIA,,,
10254,Dodgers,,6/6/2017 2:56:05 PM,,,SA,AUSTRALIA,,,
63792,Randoms,,6/6/2017 2:56:05 PM,,,SA,AUSTRALIA,,,
20820,Champions of the World,,6/6/2017 2:56:05 PM,,,SA,AUSTRALIA,,,
10341,Anythingoes,,6/6/2017 2:56:05 PM,,,SA,AUSTRALIA,,,
10277,Gutsliders,,6/6/2017 2:56:05 PM,,,SA,AUSTRALIA,,,
205354,Referees,,2/11/2019 2:35:10 PM,"Unit 13, 18-28 Gray Street",,SA,,5009,,
70415,Skillmatic,,6/6/2017 2:56:05 PM,,,SA,AUSTRALIA,,,
44762,Linebreakers,,6/6/2017 2:56:05 PM,,,SA,AUSTRALIA,,,
219795,Individual Players,,3/27/2018 2:41:58 PM,"132 Rose Terrace ",,SA,,5034,,
230209,Junior SA Players,,6/6/2017 2:56:05 PM,,,SA,,5067,,
44760,Shufflers,,6/6/2017 2:56:05 PM,,,SA,AUSTRALIA,,,
256328,Term 1 Junior Training Program,,1/16/2019 10:26:55 AM,,,SA,,5000,,
95083,The Backhanders,,6/6/2017 2:56:05 PM,,,SA,AUSTRALIA,,,
92469,Campese Goose Step,,6/6/2017 2:56:05 PM,,,SA,AUSTRALIA,,,
248600,SA Heat,,6/6/2017 2:56:05 PM,,,SA,,5034,,
207630,City Touch Junior's,,1/21/2019 2:19:01 PM,Park 17 (Corner of Beaumont and Greenhill Roads),,SA,,5063,,
238435,CITY TOUCH,CT,4/15/2019 11:41:49 AM,"Unit 13, 18-28 Gray Street",,SA,AUSTRALIA,5009,0401 999 715,renee.bryant@touchfootball.com.au
99190,Write On T-Shirts,Write On,6/6/2017 2:56:05 PM,,,QLD,AUSTRALIA,,,
99192,Solo Gold,,6/6/2017 2:56:05 PM,,,QLD,AUSTRALIA,,,
203098,West Tweed Silly Gulls,,6/6/2017 2:56:05 PM,,,QLD,AUSTRALIA,,,
99201,The LPGers,Lpgers,6/6/2017 2:56:05 PM,6,Caffrey Close,QLD,AUSTRALIA,2485,0403606417,swopabottle@bigpond.com
99463,Kozii Swimwear,,6/6/2017 2:56:05 PM,,,QLD,AUSTRALIA,,,
99204,Referees,,6/6/2017 2:56:05 PM,,,QLD,AUSTRALIA,,,
203095,Coast Formwork,Coast FW,6/6/2017 2:56:05 PM,57,Laura Street,QLD,AUSTRALIA,2486,0417382976,m_lawrence6@hotmail.com
99197,Raiders,,6/6/2017 2:56:05 PM,,,QLD,AUSTRALIA,,,
99206,Association Officials,,6/6/2017 2:56:05 PM,,,QLD,AUSTRALIA,,,
203100,O'brien Glass,O'brien G,6/6/2017 2:56:05 PM,2/51,Panorama Drive,nsw,AUSTRALIA,2485,0420704192,
224041,Peter Wall Builder,Pwb,6/6/2017 2:56:05 PM,9,Caffery Close,nsw,,2485,0412714464,peter-barb@hotmail.com
227359,Steelers,,6/6/2017 2:56:05 PM,,,QLD,,,,
231025,Border Rock Walls,BRW,6/6/2017 2:56:05 PM,,,Nsw,,,,
235015,LPGERS,LPGERS,6/6/2017 2:56:05 PM,,,NSW,,,,
231027,Tweed Coasters,,6/6/2017 2:56:05 PM,,,Nsw,,,,
266643,General Club,,1/30/2019 1:12:52 PM,,,Qld,,,,
